# Time-averaged data for fix msd_out
# TimeStep c_msd_all[4]
89900 78.1213
90000 78.2733
90100 78.4239
90200 78.7574
90300 78.9395
90400 79.0506
90500 79.3114
90600 79.6393
90700 79.9452
90800 80.2818
90900 80.5656
91000 80.6947
91100 80.9438
91200 80.996
91300 81.1494
91400 81.3253
91500 81.5425
91600 81.7945
91700 81.9892
91800 82.113
91900 82.2321
92000 82.5524
92100 82.8165
92200 83.0264
92300 83.3562
92400 83.6128
92500 83.661
92600 83.8912
92700 84.011
92800 84.1478
92900 84.1895
93000 84.3832
93100 84.7527
93200 84.8027
93300 85.0765
93400 85.1101
93500 85.249
93600 85.4701
93700 85.7066
93800 85.8893
93900 86.0729
94000 86.1872
94100 86.3393
94200 86.4473
94300 86.7805
94400 86.8902
94500 86.9665
94600 87.209
94700 87.267
94800 87.6023
94900 87.7974
95000 87.931
95100 88.2735
95200 88.4288
95300 88.661
95400 88.7001
95500 88.7054
95600 88.7985
95700 88.9846
95800 89.145
95900 89.4194
96000 89.5941
96100 89.7117
96200 89.9086
96300 90.0523
96400 90.3517
96500 90.4431
96600 90.7018
96700 90.8168
96800 90.8389
96900 90.9946
97000 91.1174
97100 91.2497
97200 91.3002
97300 91.3512
97400 91.3513
97500 91.7022
97600 91.7878
97700 91.905
97800 92.0589
97900 92.1
98000 92.2879
98100 92.7811
98200 93.0111
98300 93.2485
98400 93.5535
98500 93.9939
98600 94.1877
98700 94.365
98800 94.5263
98900 94.562
99000 94.7018
99100 94.7563
99200 95.1302
99300 95.3367
99400 95.4147
99500 95.5832
99600 95.8052
99700 96.1179
99800 96.3768
99900 96.6597
100000 96.8959
100100 97.1821
100200 97.3258
100300 97.3912
100400 97.3854
100500 97.3625
100600 97.4118
100700 97.4442
100800 97.5411
100900 97.78
101000 98.0063
101100 98.3273
101200 98.7259
101300 99.0316
101400 99.1012
101500 99.3406
101600 99.5758
101700 99.715
101800 99.8688
101900 99.8865
102000 100.07
102100 100.378
102200 100.731
102300 100.859
102400 101.162
102500 101.442
102600 101.44
102700 101.493
102800 101.916
102900 102.109
103000 102.235
103100 102.44
103200 102.788
103300 103.193
103400 103.496
103500 103.842
103600 104.245
103700 104.248
103800 104.372
103900 104.549
104000 104.673
104100 105.053
104200 105.324
104300 105.283
104400 105.367
104500 105.401
104600 105.323
104700 105.534
104800 105.569
104900 105.871
105000 105.985
105100 106.18
105200 106.538
105300 106.89
105400 107.051
105500 107.094
105600 107.452
105700 107.604
105800 107.599
105900 107.963
106000 108.122
106100 108.294
106200 108.541
106300 108.897
106400 109.037
106500 109.406
106600 109.681
106700 110.006
106800 110.208
106900 110.433
107000 110.757
107100 111.211
107200 111.553
107300 111.837
107400 111.967
107500 112.152
107600 112.472
107700 112.728
107800 112.996
107900 113.375
108000 113.503
108100 113.838
108200 113.865
108300 114.147
108400 114.603
108500 114.935
108600 115.414
108700 115.635
108800 115.771
108900 115.89
109000 115.955
109100 116.297
109200 116.294
109300 116.6
109400 116.753
109500 117.032
109600 117.24
109700 117.351
109800 117.638
109900 117.908
110000 118.112
110100 118.556
110200 118.732
110300 118.944
110400 119.401
110500 119.527
110600 119.635
110700 119.809
110800 119.788
110900 119.837
111000 120.06
111100 120.262
111200 120.537
111300 120.597
111400 120.744
111500 120.876
111600 121.053
111700 121.123
111800 121.247
111900 121.413
112000 121.657
112100 121.675
112200 121.801
112300 121.984
112400 122.197
112500 122.127
112600 122.503
112700 122.634
112800 122.703
112900 122.9
113000 123.16
113100 123.373
113200 123.672
113300 124.027
113400 124.2
113500 124.493
113600 124.947
113700 125.179
113800 125.436
113900 125.465
114000 125.456
114100 125.507
114200 125.88
114300 125.893
114400 125.947
114500 126.124
114600 126.264
114700 126.357
114800 126.653
114900 126.81
115000 126.955
115100 127.225
115200 127.642
115300 128.014
115400 128.46
115500 128.548
115600 128.515
115700 128.719
115800 128.802
115900 128.853
116000 128.928
116100 129.137
116200 129.323
116300 129.467
116400 129.703
116500 129.987
116600 130.224
116700 130.324
116800 130.561
116900 130.766
117000 130.948
117100 131.003
117200 131.345
117300 131.683
117400 131.908
117500 132.069
117600 132.381
117700 132.537
117800 132.869
117900 133.105
118000 133.267
118100 133.411
118200 133.63
118300 133.713
118400 134.089
118500 134.213
118600 134.326
118700 134.545
118800 134.734
118900 134.969
119000 135.29
119100 135.492
119200 135.531
119300 135.718
119400 135.922
119500 136.068
119600 136.3
119700 136.383
119800 136.704
119900 136.82
120000 137.122
120100 137.585
120200 137.793
120300 137.934
120400 138.157
120500 138.589
120600 138.822
120700 138.981
120800 139.061
120900 139.124
121000 139.563
121100 139.6
121200 139.989
121300 140.211
121400 140.506
121500 140.351
121600 140.473
121700 140.827
121800 141.077
121900 141.087
122000 141.395
122100 141.527
122200 141.578
122300 141.618
122400 142.065
122500 142.1
122600 142.204
122700 142.363
122800 142.44
122900 142.891
123000 142.841
123100 143.227
123200 143.367
123300 143.525
123400 143.634
123500 143.725
123600 143.859
123700 144.034
123800 144.138
123900 144.344
124000 144.563
124100 144.666
124200 144.792
124300 144.958
124400 145.085
124500 145.296
124600 145.633
