# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.725 10253.7 -3.52701 8.89199 -34.0937
2000 21.725 10253.7 -3.52693 8.89197 3.9814
3000 21.7253 10254.1 -3.52697 8.89163 -55.4631
4000 21.7246 10253.1 -3.527 8.89252 72.2438
5000 21.7247 10253.3 -3.52711 8.8923 -31.0498
6000 21.7253 10254.1 -3.52682 8.89162 5.73263
7000 21.7253 10254.2 -3.52683 8.89156 -12.5463
8000 21.7249 10253.5 -3.52689 8.89214 38.9581
9000 21.7254 10254.2 -3.52692 8.89155 -60.3128
10000 21.7249 10253.6 -3.52693 8.89208 37.9899
11000 21.7253 10254.1 -3.5269 8.89164 2.74422
12000 21.7253 10254 -3.52688 8.89168 3.52753
13000 21.7253 10254 -3.52691 8.89167 -18.6214
14000 21.7252 10254 -3.52687 8.89171 -8.36055
15000 21.7249 10253.5 -3.52696 8.89213 25.1012
16000 21.7245 10253 -3.5272 8.89262 -12.5652
17000 21.725 10253.7 -3.52691 8.892 19.4494
18000 21.7251 10253.8 -3.52699 8.89191 -33.2612
19000 21.7244 10252.9 -3.5271 8.8927 39.2259
20000 21.7254 10254.2 -3.52692 8.89154 -55.2442
21000 21.7248 10253.3 -3.52692 8.89228 50.6438
22000 21.7256 10254.5 -3.5268 8.8913 -29.5125
23000 21.7252 10253.9 -3.52684 8.89178 44.0653
24000 21.726 10255.1 -3.52678 8.89077 -74.6628
25000 21.725 10253.6 -3.52686 8.89206 77.4462
26000 21.7255 10254.4 -3.5269 8.89134 -58.0636
27000 21.7254 10254.3 -3.52674 8.89145 36.7596
28000 21.7252 10254 -3.52691 8.89175 -7.36245
29000 21.7256 10254.5 -3.52676 8.89125 -4.92098
30000 21.7249 10253.5 -3.52705 8.89217 -8.12582
