# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.7595 10302.6 -3.51374 8.84978 147.882
2000 21.7607 10304.3 -3.51373 8.84834 -45.3029
3000 21.7601 10303.4 -3.5139 8.84907 -26.0206
4000 21.7595 10302.6 -3.51405 8.84978 2.22467
5000 21.7599 10303.1 -3.51366 8.84932 71.2796
6000 21.7607 10304.4 -3.5138 8.84826 -119.688
7000 21.7597 10302.9 -3.51365 8.84952 143.884
8000 21.7605 10304 -3.51384 8.84861 -89.0775
9000 21.7601 10303.4 -3.51381 8.84907 -16.3729
10000 21.76 10303.3 -3.51375 8.84917 49.6788
11000 21.7607 10304.4 -3.51361 8.84824 -31.2155
12000 21.7598 10303 -3.51379 8.84945 47.8982
13000 21.7598 10303 -3.51407 8.84943 -69.3371
14000 21.7603 10303.7 -3.51357 8.84883 39.4398
15000 21.7602 10303.6 -3.5136 8.84889 39.0814
16000 21.7611 10304.9 -3.51362 8.84782 -143.881
17000 21.7597 10302.9 -3.51358 8.84953 123.351
18000 21.7605 10304 -3.51364 8.84854 -28.9401
19000 21.76 10303.3 -3.51386 8.84915 -45.3629
20000 21.7597 10302.9 -3.51388 8.8495 59.8287
21000 21.7609 10304.6 -3.51355 8.84802 -15.0012
22000 21.7618 10305.8 -3.51328 8.84701 -75.1543
23000 21.7601 10303.5 -3.51348 8.84904 144.359
24000 21.761 10304.8 -3.51355 8.84788 -94.2995
25000 21.7603 10303.7 -3.51357 8.84882 34.1779
26000 21.7605 10304 -3.51361 8.84861 -3.38012
27000 21.7605 10304 -3.51373 8.8486 -26.1177
28000 21.7594 10302.5 -3.514 8.84988 -26.958
29000 21.7591 10302 -3.51386 8.8503 128.494
30000 21.7604 10303.9 -3.51395 8.8487 -160.283
