# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.8736 10465.5 -3.47145 8.71208 113.877
2000 21.8728 10464.4 -3.47163 8.713 129.882
3000 21.8731 10464.9 -3.47161 8.71257 102.858
4000 21.8702 10460.7 -3.4728 8.71605 -50.0574
5000 21.8719 10463.1 -3.47218 8.71414 -96.2775
6000 21.8732 10464.9 -3.47184 8.7126 -119.568
7000 21.8718 10463 -3.47184 8.71415 36.4865
8000 21.8721 10463.3 -3.47199 8.71383 -16.588
9000 21.8681 10457.6 -3.47331 8.71857 60.9865
10000 21.871 10461.9 -3.4723 8.71509 126.153
11000 21.8722 10463.6 -3.47174 8.71367 134.195
12000 21.8734 10465.2 -3.47191 8.71233 -145.17
13000 21.8753 10468 -3.47134 8.70995 -190.206
14000 21.8707 10461.3 -3.47251 8.71553 -52.385
15000 21.8702 10460.7 -3.47236 8.71606 64.7168
16000 21.869 10458.9 -3.47286 8.71757 107.249
17000 21.8707 10461.4 -3.47233 8.71547 101.426
18000 21.8719 10463.1 -3.47198 8.71405 71.658
19000 21.8742 10466.5 -3.47156 8.71126 -112.11
20000 21.8761 10469.2 -3.47084 8.70899 -93.8559
21000 21.8727 10464.2 -3.47213 8.71313 -158.194
22000 21.8757 10468.6 -3.47066 8.7095 -51.3419
23000 21.8711 10461.9 -3.47174 8.7151 247.663
24000 21.8721 10463.3 -3.47199 8.71384 39.4685
25000 21.8713 10462.2 -3.47238 8.71475 10.7109
26000 21.8711 10461.9 -3.47246 8.71503 45.3133
27000 21.8715 10462.6 -3.47247 8.71447 -79.2773
28000 21.8717 10462.8 -3.47258 8.71437 -186.584
29000 21.8727 10464.3 -3.47192 8.71318 -102.942
30000 21.8718 10463 -3.47168 8.71425 153.821
