# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.7961 10354.7 -3.50024 8.80524 29.556
2000 21.7978 10357.2 -3.49957 8.80315 27.696
3000 21.797 10355.9 -3.50017 8.80419 -125.812
4000 21.796 10354.6 -3.49998 8.80538 191.703
5000 21.7971 10356.1 -3.50016 8.80411 -116.487
6000 21.7982 10357.6 -3.49946 8.80277 -7.28979
7000 21.7956 10354 -3.50021 8.80582 80.4457
8000 21.7971 10356.1 -3.49996 8.80404 -52.5472
9000 21.7974 10356.5 -3.4998 8.80367 -48.5202
10000 21.7963 10355 -3.49979 8.80503 167.369
11000 21.7985 10358.1 -3.4996 8.80236 -200.47
12000 21.7968 10355.6 -3.49988 8.80446 80.7865
13000 21.7967 10355.5 -3.49997 8.80455 41.1137
14000 21.7958 10354.2 -3.5005 8.80565 -82.7311
15000 21.7959 10354.4 -3.50024 8.8055 56.6981
16000 21.795 10353.1 -3.50066 8.80662 -18.4684
17000 21.7948 10352.9 -3.50059 8.80678 7.41816
18000 21.7959 10354.4 -3.50035 8.80548 -21.4743
19000 21.7966 10355.3 -3.50017 8.8047 -2.95352
20000 21.7949 10353 -3.50071 8.80668 2.15842
21000 21.7971 10356 -3.49989 8.8041 -34.8153
22000 21.7957 10354.1 -3.50026 8.80572 69.6231
23000 21.798 10357.5 -3.49995 8.80292 -177.027
24000 21.7959 10354.4 -3.50005 8.80549 182.071
25000 21.7964 10355.1 -3.50038 8.8049 -39.9297
26000 21.7959 10354.3 -3.50043 8.80555 -61.8929
27000 21.7945 10352.3 -3.50076 8.80725 82.4992
28000 21.797 10355.9 -3.50003 8.80422 -67.0817
29000 21.7959 10354.4 -3.5004 8.80553 -5.46107
30000 21.7957 10354.2 -3.50006 8.80576 155.823
