# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.9519 10578.3 -3.44333 8.61915 -189.938
2000 21.9499 10575.4 -3.44342 8.62153 139.51
3000 21.9533 10580.3 -3.44328 8.61751 -385.184
4000 21.9528 10579.7 -3.44195 8.61818 419.125
5000 21.9519 10578.4 -3.44342 8.61915 -246.871
6000 21.9494 10574.7 -3.44366 8.6221 143.972
7000 21.9566 10585.1 -3.44144 8.61357 -147.788
8000 21.9561 10584.4 -3.44169 8.61421 26.563
9000 21.9523 10578.9 -3.44266 8.61868 140.143
10000 21.9568 10585.4 -3.44201 8.61343 -341.744
11000 21.9487 10573.8 -3.44304 8.62291 595.645
12000 21.9577 10586.8 -3.44191 8.61229 -497.923
13000 21.9549 10582.6 -3.44189 8.61559 129.416
14000 21.9534 10580.6 -3.44211 8.61729 3.13791
15000 21.955 10582.9 -3.44174 8.61543 -100.468
16000 21.9476 10572 -3.44423 8.62424 114.591
17000 21.9534 10580.5 -3.44236 8.61731 -14.5959
18000 21.9504 10576.2 -3.44339 8.62087 54.4231
19000 21.9537 10581 -3.44266 8.61703 -159.127
20000 21.951 10577.1 -3.44315 8.62022 74.7005
21000 21.953 10580 -3.4427 8.6178 42.1871
22000 21.9536 10580.8 -3.44246 8.6171 -1.69641
23000 21.9538 10581 -3.44252 8.61692 -19.407
24000 21.9541 10581.5 -3.44228 8.61652 -57.6477
25000 21.953 10579.9 -3.44205 8.61784 196.325
26000 21.9524 10579 -3.44361 8.61854 -342.42
27000 21.9465 10570.6 -3.44438 8.62545 314.697
28000 21.955 10582.8 -3.44312 8.61559 -588.824
29000 21.9444 10567.5 -3.44411 8.62815 845.626
30000 21.9568 10585.4 -3.44219 8.61342 -508.161
