# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 22.0399 10706.1 -3.41209 8.51647 -81.5488
2000 22.0399 10706.1 -3.41193 8.51632 -148.827
3000 22.0355 10699.6 -3.41272 8.52142 12.8595
4000 22.0399 10706 -3.41141 8.51631 178.915
5000 22.0397 10705.8 -3.41154 8.51653 156.006
6000 22.0481 10718.1 -3.40934 8.50685 -193.984
7000 22.0397 10705.8 -3.41202 8.51654 4.82391
8000 22.0404 10706.7 -3.41159 8.51578 38.5755
9000 22.0386 10704.2 -3.41247 8.51781 -107.025
10000 22.0383 10703.8 -3.41265 8.51813 -95.8755
11000 22.0411 10707.9 -3.41148 8.51505 31.2246
12000 22.0407 10707.3 -3.41216 8.51557 -189.129
13000 22.0456 10714.3 -3.40986 8.50976 43.2969
14000 22.0366 10701.2 -3.4128 8.52011 -69.4562
15000 22.0344 10698.1 -3.41389 8.52268 -31.1298
16000 22.0422 10709.5 -3.4116 8.51364 -343.011
17000 22.0403 10706.7 -3.41153 8.51602 82.3675
18000 22.0347 10698.5 -3.41332 8.52239 270.839
19000 22.041 10707.6 -3.41086 8.51507 149.966
20000 22.0414 10708.3 -3.41116 8.51454 1.14636
21000 22.0363 10700.8 -3.413 8.52048 14.0737
22000 22.0347 10698.4 -3.41304 8.52238 335.739
23000 22.0417 10708.8 -3.41106 8.51425 27.3519
24000 22.0385 10704 -3.41217 8.51806 69.8744
25000 22.0452 10713.8 -3.4106 8.51013 -307.027
26000 22.0429 10710.4 -3.41094 8.51289 -69.4871
27000 22.0406 10707 -3.41173 8.51554 -159.933
28000 22.04 10706.1 -3.4122 8.51626 -261.316
29000 22.0408 10707.4 -3.41126 8.51531 106.107
30000 22.0458 10714.6 -3.40992 8.50957 -189.256
