# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 21.8352 10410.6 -3.4859 8.75802 -226.831
2000 21.8334 10407.9 -3.4858 8.76022 177.24
3000 21.8355 10410.9 -3.48566 8.75773 -114.316
4000 21.8318 10405.7 -3.48664 8.7621 28.8167
5000 21.8329 10407.2 -3.48599 8.76087 192.023
6000 21.8345 10409.5 -3.48667 8.75897 -348.066
7000 21.8334 10407.9 -3.48606 8.76025 231.631
8000 21.8345 10409.5 -3.48586 8.75886 -4.97203
9000 21.8339 10408.6 -3.48621 8.75964 -108.507
10000 21.8332 10407.6 -3.48634 8.76052 102.55
11000 21.834 10408.7 -3.4862 8.75956 23.4777
12000 21.8348 10409.9 -3.48642 8.7586 -232.12
13000 21.8346 10409.6 -3.48517 8.75886 383.567
14000 21.8352 10410.5 -3.48608 8.7581 -205.39
15000 21.8352 10410.5 -3.48587 8.75808 -37.7976
16000 21.8323 10406.4 -3.48668 8.7615 88.6568
17000 21.8325 10406.6 -3.48673 8.76134 -32.9274
18000 21.8341 10408.9 -3.48633 8.75942 -83.5674
19000 21.833 10407.4 -3.48625 8.76066 157.685
20000 21.8346 10409.6 -3.48625 8.75883 -120.082
21000 21.8364 10412.2 -3.48532 8.75664 -98.4928
22000 21.8332 10407.7 -3.48598 8.76046 230.47
23000 21.8353 10410.6 -3.48602 8.75797 -149.488
24000 21.8326 10406.8 -3.48646 8.76113 67.2037
25000 21.8334 10407.9 -3.48615 8.76025 85.6348
26000 21.8362 10412 -3.48581 8.75689 -351.317
27000 21.8311 10404.6 -3.48646 8.76311 350.709
28000 21.8335 10408.1 -3.48634 8.76007 -96.349
29000 21.8338 10408.5 -3.4862 8.75971 -42.5783
30000 21.8319 10405.8 -3.48646 8.76205 220.594
