# Time-averaged data for fix avg
# TimeStep v_mylx v_myvol v_mype v_mydens v_mypress
1000 22 10648.1 -3.42596 8.56266 59.9431
2000 21.9975 10644.5 -3.42648 8.56557 66.076
3000 21.9958 10642 -3.42742 8.56756 1.23098
4000 21.9926 10637.3 -3.42793 8.57136 226.045
5000 21.9975 10644.4 -3.42792 8.56577 -551.671
6000 21.9915 10635.6 -3.42827 8.5727 204.681
7000 21.9938 10639.1 -3.42799 8.5699 165.395
8000 21.9926 10637.3 -3.42907 8.57139 -307.861
9000 21.9978 10644.9 -3.42673 8.56544 -60.4984
10000 21.9929 10637.8 -3.42736 8.57103 450.003
11000 21.9939 10639.2 -3.42801 8.56985 -95.5931
12000 21.9931 10637.9 -3.4286 8.57082 -176.588
13000 21.9924 10637 -3.42837 8.57164 13.4229
14000 21.9877 10630.2 -3.42929 8.57716 514.478
15000 21.996 10642.2 -3.42773 8.56749 -255.944
16000 21.9997 10647.7 -3.42601 8.56309 -212.497
17000 21.9992 10646.8 -3.42623 8.56366 9.67556
18000 21.9914 10635.5 -3.42843 8.57279 187.441
19000 21.9952 10641.1 -3.42693 8.56835 230.891
20000 21.9958 10642 -3.42808 8.56773 -406.52
21000 21.9951 10640.9 -3.42789 8.56858 -186.106
22000 21.9944 10639.9 -3.42712 8.56925 279.304
23000 22.0008 10649.1 -3.42547 8.5618 10.9644
24000 21.9967 10643.2 -3.42744 8.56655 -100.367
25000 21.9947 10640.3 -3.42806 8.56897 -118.943
26000 21.996 10642.2 -3.42682 8.56741 193.474
27000 21.9962 10642.5 -3.42736 8.5671 -75.6005
28000 21.9971 10643.9 -3.42726 8.56606 -115.408
29000 21.9886 10631.5 -3.42892 8.57607 480.497
30000 21.9946 10640.2 -3.42806 8.56913 -90.1473
